<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VIN,D,20090526,000000,4.24526,4.24526,4.24526,4.24526,13.083636430629081,0
VIN,D,20090527,000000,4.2102,4.2102,4.2102,4.2102,448.4119031224568,0
VIN,D,20090528,000000,4.2102,4.2102,4.2102,4.2102,1210.8310805799688,0
VIN,D,20090529,000000,4.2102,4.2102,4.17513,4.17513,604.2261187963093,0
VIN,D,20090601,000000,4.2102,4.2102,4.20322,4.20322,600.65785431522,0
VIN,D,20090602,000000,4.20322,4.20322,4.13991,4.13991,107.04793443241492,0
VIN,D,20090603,000000,4.1822,4.2102,4.14706,4.14706,1493.913396079044,0
VIN,D,20090604,000000,4.23819,4.23819,4.14706,4.14706,830.2162025980824,0
VIN,D,20090605,000000,4.2102,4.2102,4.00674,4.00674,679.1596728990052,0
VIN,D,20090608,000000,4.10494,4.10494,3.78916,3.78916,5089.534571514606,0
VIN,D,20090609,000000,4.06282,4.06282,3.8944,3.8944,1932.809927252004,0
VIN,D,20090610,000000,4.06987,4.06987,4.06987,4.06987,68.98644663422306,0
VIN,D,20090612,000000,4.2102,4.2102,4.11192,4.11192,663.6971934809832,0
VIN,D,20090615,000000,4.17513,4.17513,3.98563,3.98563,593.5213253530625,0
VIN,D,20090616,000000,4.07693,4.12603,4.07693,4.12603,379.4254564882326,0
VIN,D,20090617,000000,4.06987,4.06987,3.9435,4.06987,438.89653117290646,0
VIN,D,20090618,000000,4.06282,4.06282,3.66286,3.66286,26.167272861257093,0
VIN,D,20090619,000000,3.95057,4.13991,3.95057,4.10494,1118.0562040719008,0
VIN,D,20090622,000000,4.14706,4.14706,3.74695,3.82413,2636.9474515185393,0
VIN,D,20090623,000000,3.74695,3.99959,3.64891,3.79613,1565.2786857006186,0
VIN,D,20090624,000000,3.99959,3.99959,3.90148,3.90148,146.29884372430215,0
VIN,D,20090625,000000,3.99959,3.99959,3.90148,3.90148,328.2803322594128,0
VIN,D,20090626,000000,3.99959,3.99959,3.99959,3.99959,36.87206630449858,0
VIN,D,20090629,000000,3.83128,3.92233,3.83128,3.92233,155.81421567384186,0
VIN,D,20090630,000000,3.92233,3.92233,3.83128,3.83128,126.07867833150496,0
VIN,D,20090701,000000,3.8944,3.8944,3.8944,3.8944,115.3738848882688,0
VIN,D,20090702,000000,3.90148,3.90148,3.90148,3.90148,128.4575213188979,0
VIN,D,20090703,000000,3.96469,3.96469,3.96469,3.96469,16.651900911708868,0
VIN,D,20090706,000000,3.86642,3.96469,3.86642,3.96469,146.29884372430215,0
VIN,D,20090707,000000,3.96469,3.96469,3.96469,3.96469,15.462479418015604,0
VIN,D,20090708,000000,3.97857,3.97857,3.81732,3.81732,346.1216546648171,0
VIN,D,20090709,000000,3.96469,3.96469,3.96469,3.96469,112.99504190088655,0
VIN,D,20090710,000000,3.95755,3.95755,3.95755,3.95755,5.94710746846759,0
VIN,D,20090713,000000,3.92947,3.92947,3.92947,3.92947,5.94710746846759,0
VIN,D,20090714,000000,3.95755,3.95755,3.95755,3.95755,5.94710746846759,0
VIN,D,20090715,000000,3.95755,3.95755,3.95755,3.95755,11.89421493693475,0
VIN,D,20090716,000000,3.99959,3.99959,3.92947,3.92947,298.54479491707593,0
VIN,D,20090717,000000,3.92947,3.92947,3.78916,3.78916,754.0932270016901,0
VIN,D,20090720,000000,3.76107,3.76107,3.76107,3.76107,26.167272861257093,0
VIN,D,20090721,000000,3.8944,3.8944,3.8944,3.8944,26.167272861257093,0
VIN,D,20090722,000000,3.92233,3.92233,3.85937,3.85937,110.61619891349362,0
VIN,D,20090723,000000,3.92233,3.92233,3.91553,3.91553,473.38975449002913,0
VIN,D,20090724,000000,3.92947,3.92947,3.76107,3.76805,4467.467130312839,0
VIN,D,20090727,000000,3.76805,3.76805,3.76805,3.76805,26.167272861257093,0
VIN,D,20090728,000000,3.76805,3.76805,3.74005,3.74695,2757.0790223815297,0
VIN,D,20090729,000000,3.82413,3.85937,3.50844,3.71894,18026.87215841826,0
VIN,D,20090730,000000,3.726,3.726,3.50844,3.50844,12731.56766849672,0
VIN,D,20090731,000000,3.69802,3.73299,3.50844,3.50844,12786.281057205499,0
VIN,D,20090803,000000,3.62074,3.66286,3.55055,3.55055,1371.4029822286177,0
VIN,D,20090804,000000,3.55753,3.71197,3.55055,3.71197,5320.282341291058,0
VIN,D,20090805,000000,3.71894,3.78916,3.71894,3.75417,2620.2955506068097,0
VIN,D,20090806,000000,3.78916,3.78916,3.78916,3.78916,67.7970251405298,0
VIN,D,20090807,000000,3.85937,3.85937,3.71894,3.78916,1115.6773610845719,0
VIN,D,20090810,000000,3.8944,3.8944,3.75417,3.75417,2238.4912511311304,0
VIN,D,20090811,000000,3.8944,4.00674,3.85937,4.00674,5009.843331437168,0
VIN,D,20090812,000000,4.10494,4.19617,4.02078,4.13991,2246.8172015871014,0
VIN,D,20090813,000000,4.2102,5.12241,4.2102,5.12241,26575.244433594777,0
VIN,D,20090814,000000,5.12947,5.64165,4.56793,4.56793,93842.97700943163,0
VIN,D,20090817,000000,4.82058,4.82058,4.35052,4.49084,13131.213290376725,0
VIN,D,20090818,000000,4.61713,4.70129,4.21725,4.40651,2994.963321120288,0
VIN,D,20090819,000000,4.42072,4.42072,3.97151,4.2804,24518.73467099847,0
VIN,D,20090820,000000,4.23819,4.24526,4.09796,4.22424,2313.4248052338053,0
VIN,D,20090821,000000,4.21725,4.42072,4.11889,4.42072,5762.747136945118,0
VIN,D,20090824,000000,4.6943,4.79258,4.46982,4.63116,15077.106854057864,0
VIN,D,20090825,000000,4.5961,4.5961,4.21725,4.46267,13802.04701281927,0
VIN,D,20090826,000000,4.44879,4.47681,4.2102,4.47681,7582.562022296225,0
VIN,D,20090827,000000,4.42072,4.49789,4.31546,4.45578,2742.8059644572354,0
VIN,D,20090828,000000,4.49084,4.49084,4.2102,4.30143,7350.624831026002,0
VIN,D,20090831,000000,4.3575,4.3575,4.2102,4.31546,2325.3190201708762,0
VIN,D,20090901,000000,4.27341,4.27341,4.00674,4.00674,4286.6750632714675,0
VIN,D,20090902,000000,4.00674,4.00674,3.76107,3.77511,4658.963990797511,0
VIN,D,20090903,000000,4.11889,4.11889,3.76107,3.76805,4845.703165307418,0
VIN,D,20090904,000000,3.87331,3.91553,3.78916,3.79613,4623.281345986724,0
VIN,D,20090907,000000,3.92947,3.97151,3.78209,3.97151,4810.020520496631,0
VIN,D,20090908,000000,4.09796,4.2102,4.06987,4.11192,5899.530608719839,0
VIN,D,20090909,000000,4.47681,4.47681,4.09081,4.09081,2736.858856988807,0
VIN,D,20090910,000000,4.11192,4.2102,3.98563,4.2102,2696.4185262031483,0
VIN,D,20090911,000000,4.27341,4.38566,3.92947,4.38566,7342.29888057003,0
VIN,D,20090914,000000,4.45578,4.63116,4.13991,4.52589,30982.051067728808,0
VIN,D,20090915,000000,4.52589,4.87682,4.52589,4.87682,8070.224834710494,0
VIN,D,20090916,000000,4.85582,4.85582,4.85582,4.85582,28.546115848644686,0
VIN,D,20090917,000000,4.85582,4.85582,4.575,4.84168,7091.3309454007485,0
VIN,D,20090918,000000,4.8347,4.8347,4.65235,4.82773,22563.325735365244,0
VIN,D,20090921,000000,4.73651,4.73651,4.73651,4.73651,13.083636430629081,0
VIN,D,20090922,000000,4.72944,4.72944,4.72944,4.72944,10.704793443241492,0
VIN,D,20090923,000000,4.72944,4.81377,4.71549,4.81377,5518.91573073793,0
VIN,D,20090924,000000,4.77156,4.77854,4.77156,4.77156,1711.577529424974,0
VIN,D,20090925,000000,4.87682,4.87682,4.65235,4.65235,1732.9871163114678,0
VIN,D,20090928,000000,4.72239,4.82773,4.72239,4.82773,111.80562040719008,0
VIN,D,20090929,000000,4.82773,4.82773,4.82773,4.82773,9.51537194954823,0
VIN,D,20090930,000000,4.87682,4.87682,4.87682,4.87682,9.51537194954823,0
VIN,D,20091001,000000,4.87682,4.87682,4.70842,4.86287,2010.122324342114,0
VIN,D,20091002,000000,4.84168,4.84168,4.72944,4.77156,1834.0879432754002,0
VIN,D,20091005,000000,4.84168,4.84168,4.72239,4.77156,846.8681035097796,0
VIN,D,20091006,000000,4.80646,4.80646,4.56105,4.56105,1008.6294266521036,0
VIN,D,20091007,000000,4.63116,4.63116,4.49084,4.52589,1118.0562040719008,0
VIN,D,20091008,000000,4.52589,4.52589,4.24526,4.24526,520.9666142377703,0
VIN,D,20091009,000000,4.24526,4.24526,4.17513,4.2102,385.3725639567043,0
VIN,D,20091012,000000,4.2102,4.45578,4.06987,4.45578,2843.9067914212756,0
VIN,D,20091013,000000,4.44879,4.44879,4.44879,4.44879,11.89421493693475,0
VIN,D,20091014,000000,4.44174,4.5961,4.3575,4.58912,3603.9471258913195,0
VIN,D,20091015,000000,4.58912,4.58912,4.32941,4.40651,2377.653565893286,0
VIN,D,20091016,000000,4.56105,4.56105,4.49084,4.49084,143.92000073690926,0
VIN,D,20091019,000000,4.56105,4.56105,4.56105,4.56105,26.167272861257093,0
VIN,D,20091020,000000,4.44879,4.56105,4.44879,4.56105,428.1917377296597,0
VIN,D,20091021,000000,4.56105,4.56105,4.34337,4.42072,4145.133905521877,0
VIN,D,20091022,000000,4.56105,4.61005,4.34337,4.61005,2130.253895205105,0
VIN,D,20091023,000000,4.16101,4.70129,4.16101,4.70129,5816.271104161299,0
VIN,D,20091026,000000,4.84168,4.84168,4.5961,4.5961,2154.042325078927,0
VIN,D,20091027,000000,4.70129,4.70129,4.51893,4.51893,272.3775220558178,0
VIN,D,20091028,000000,4.70129,4.70129,4.31546,4.31546,3807.338201312956,0
VIN,D,20091029,000000,4.31546,4.44879,4.31546,4.44879,863.520004421498,0
VIN,D,20091030,000000,4.44879,4.44879,4.44879,4.44879,13.083636430629081,0
VIN,D,20091102,000000,4.44879,4.51194,4.35052,4.35052,1436.8211643817633,0
VIN,D,20091103,000000,4.49084,4.49084,4.49084,4.49084,5.94710746846759,0
VIN,D,20091104,000000,4.49084,4.70129,4.49084,4.70129,2344.3497640699347,0
VIN,D,20091105,000000,4.70129,4.70129,4.63116,4.63116,776.6922353818696,0
VIN,D,20091106,000000,4.70129,4.70129,4.46982,4.58912,1905.4532328969744,0
VIN,D,20091109,000000,4.72944,4.72944,4.51194,4.51194,1334.5309159241663,0
VIN,D,20091110,000000,4.73651,4.73651,4.50489,4.50489,1467.7461232177861,0
VIN,D,20091112,000000,4.31546,4.50489,4.31546,4.50489,2151.6634820915983,0
VIN,D,20091113,000000,4.50489,4.50489,4.50489,4.50489,13.083636430629081,0
VIN,D,20091116,000000,4.50489,4.56105,4.32252,4.32252,2101.707779356411,0
VIN,D,20091117,000000,4.1822,4.37852,4.1822,4.29443,2259.9008380176247,0
VIN,D,20091118,000000,4.54001,4.54001,4.27341,4.51893,2400.2525742735506,0
VIN,D,20091119,000000,4.35052,4.41366,4.35052,4.41366,375.85719200715397,0
VIN,D,20091120,000000,4.37852,4.37852,4.27341,4.27341,120.13157086304399,0
VIN,D,20091123,000000,4.37852,4.37852,4.33649,4.33649,26.167272861257093,0
VIN,D,20091124,000000,4.10494,4.23819,4.10494,4.23819,122.51041385042625,0
VIN,D,20091125,000000,4.2102,4.2102,4.2102,4.2102,4.757685974774008,0
VIN,D,20091126,000000,4.2102,4.2102,3.99959,4.15412,2921.2191885112784,0
VIN,D,20091127,000000,4.09796,4.09796,4.02776,4.02776,12042.892623647609,0
VIN,D,20091130,000000,4.38566,4.38566,4.2804,4.2804,971.7573603475987,0
VIN,D,20091201,000000,4.38566,4.38566,4.38566,4.38566,9.51537194954823,0
VIN,D,20091202,000000,4.52589,4.52589,4.03473,4.05584,2941.4393539041075,0
VIN,D,20091203,000000,4.30143,4.30857,4.30143,4.30857,587.5742178846015,0
VIN,D,20091204,000000,4.30857,4.30857,4.19617,4.29443,337.7957042089632,0
VIN,D,20091207,000000,4.30143,4.30143,4.30143,4.30143,1003.8717406773284,0
VIN,D,20091208,000000,4.30143,4.30143,4.30143,4.30143,145.1094222306057,0
VIN,D,20091209,000000,4.30143,4.49084,4.30143,4.49084,738.6307475836788,0
VIN,D,20091210,000000,4.5471,4.5471,4.2804,4.45578,4185.574236307428,0
VIN,D,20091211,000000,4.51194,4.51194,4.48378,4.48378,931.3170295620256,0
VIN,D,20091214,000000,4.45578,4.45578,4.44879,4.44879,1158.4965348575593,0
VIN,D,20091215,000000,4.44879,4.44879,4.42072,4.42072,5482.043664433479,0
VIN,D,20091216,000000,4.42072,4.51893,4.42072,4.51893,3891.787127365159,0
VIN,D,20091217,000000,4.56105,4.5961,4.56105,4.5961,4284.296220284033,0
VIN,D,20091218,000000,4.5961,4.73651,4.5539,4.70129,4016.676384203021,0
VIN,D,20091221,000000,4.8347,4.8347,4.5961,4.82773,4618.523660011852,0
VIN,D,20091222,000000,4.80646,4.82773,4.49084,4.63116,10479.992780933575,0
VIN,D,20091223,000000,4.56105,4.56105,4.31546,4.31546,7954.850949822268,0
VIN,D,20091228,000000,4.42072,4.42072,4.1331,4.41366,12713.726346090154,0
VIN,D,20091229,000000,4.36456,4.4277,4.26627,4.39256,2096.950093381646,0
VIN,D,20091230,000000,4.45578,4.45578,4.37852,4.37852,538.8079366431639,0
VIN,D,20091231,000000,4.36456,4.36456,4.36456,4.36456,190.30743899096458,0
VIN,D,20100104,000000,4.35052,4.35052,4.2102,4.21725,1261.9762048088207,0
VIN,D,20100105,000000,4.21725,4.47681,4.21725,4.37852,2017.2588533042072,0
VIN,D,20100106,000000,4.4346,4.4346,4.4346,4.4346,1.1894214936934753,0
VIN,D,20100107,000000,4.4346,4.4346,4.32941,4.32941,120.13157086304399,0
VIN,D,20100108,000000,4.42072,4.42072,4.30143,4.35052,221.2323978269979,0
VIN,D,20100111,000000,4.38566,4.38566,4.38566,4.38566,258.1044641314922,0
VIN,D,20100112,000000,4.39256,4.39256,4.38566,4.38566,111.80562040719008,0
VIN,D,20100113,000000,4.35052,4.35052,4.35052,4.35052,3.568264481080533,0
VIN,D,20100114,000000,4.33649,4.49084,4.33649,4.49084,3104.3900985400855,0
VIN,D,20100115,000000,4.49084,4.49084,4.49084,4.49084,1822.1937283384354,0
VIN,D,20100118,000000,4.56105,4.56105,4.49084,4.49084,70.17586812791738,0
VIN,D,20100119,000000,4.54001,4.5961,4.54001,4.5961,3096.064148084221,0
VIN,D,20100120,000000,4.61713,4.70129,4.49084,4.6663,3988.1302683543277,0
VIN,D,20100121,000000,4.49084,4.70129,4.49084,4.70129,171.2766950918745,0
VIN,D,20100122,000000,4.77156,4.77156,4.63116,4.63116,7129.392433198971,0
VIN,D,20100125,000000,4.63116,4.63116,4.54001,4.54001,5703.276062260402,0
VIN,D,20100126,000000,4.54001,4.54001,4.4277,4.54001,544.7550441116356,0
VIN,D,20100127,000000,4.54001,4.54001,4.54001,4.54001,2.3788429873870576,0
VIN,D,20100128,000000,4.53296,4.53296,4.45578,4.45578,475.7685974774007,0
VIN,D,20100129,000000,4.53296,4.53296,4.53296,4.53296,5.94710746846759,0
VIN,D,20100201,000000,4.65915,4.65915,4.5539,4.5539,2280.121003410454,0
VIN,D,20100202,000000,4.84168,4.84168,4.61713,4.61713,1743.6919097546613,0
VIN,D,20100203,000000,4.80646,4.80646,4.32941,4.575,3845.3996891110723,0
VIN,D,20100204,000000,4.79965,4.79965,4.2102,4.2102,10003.034761962499,0
VIN,D,20100205,000000,4.39969,4.49789,4.17513,4.20322,4775.527297179402,0
VIN,D,20100208,000000,4.38566,4.38566,4.19617,4.37146,1019.3342200953398,0
VIN,D,20100209,000000,4.3575,4.42072,4.16101,4.42072,2261.0902595113957,0
VIN,D,20100210,000000,4.6943,4.6943,4.35052,4.56105,2752.321336406765,0
VIN,D,20100211,000000,4.56105,4.76458,4.56105,4.56105,1785.3216620339842,0
VIN,D,20100212,000000,4.76458,4.76458,4.60308,4.60308,1742.5024882609966,0
VIN,D,20100215,000000,4.65915,4.65915,4.6452,4.6452,522.1560357314561,0
VIN,D,20100216,000000,4.65915,4.77156,4.40651,4.60308,6929.569622258435,0
VIN,D,20100217,000000,4.65915,4.65915,4.65915,4.65915,102.29024845764292,0
VIN,D,20100218,000000,4.77156,4.77156,4.65915,4.65915,112.99504190088655,0
VIN,D,20100219,000000,4.44174,4.46267,4.44174,4.46267,868.2776903962731,0
VIN,D,20100222,000000,4.65235,4.65235,4.65235,4.65235,3.568264481080533,0
VIN,D,20100223,000000,4.62426,4.62426,4.62426,4.62426,2.3788429873870576,0
VIN,D,20100224,000000,4.62426,4.62426,4.62426,4.62426,2.3788429873870576,0
VIN,D,20100225,000000,4.62426,4.62426,4.62426,4.62426,1.1894214936934753,0
VIN,D,20100226,000000,4.62426,4.62426,4.37146,4.52589,2409.76794622308,0
VIN,D,20100301,000000,4.42072,4.5961,4.15412,4.48378,7096.08863137562,0
VIN,D,20100302,000000,4.25937,4.25937,4.25937,4.25937,1.1894214936934753,0
VIN,D,20100303,000000,4.37146,4.37146,4.37146,4.37146,115.3738848882688,0
VIN,D,20100304,000000,4.37146,4.37146,4.37146,4.37146,115.3738848882688,0
VIN,D,20100305,000000,4.37146,4.37146,4.37146,4.37146,2.3788429873870576,0
VIN,D,20100308,000000,4.37146,4.37146,4.37146,4.37146,5.94710746846759,0
VIN,D,20100309,000000,4.37146,4.37146,4.37146,4.37146,96.34314098917555,0
VIN,D,20100310,000000,4.48378,4.48378,4.2804,4.2804,128.4575213188979,0
VIN,D,20100311,000000,4.46267,4.46267,4.25937,4.46267,1970.8714150502267,0
VIN,D,20100312,000000,4.46267,4.46267,4.10494,4.36456,7982.20764417719,0
VIN,D,20100315,000000,4.35052,4.35052,4.35052,4.35052,337.7957042089632,0
VIN,D,20100316,000000,4.34337,4.34337,4.34337,4.34337,116.56330638196526,0
VIN,D,20100317,000000,4.32941,4.42072,4.19617,4.42072,4810.020520496631,0
VIN,D,20100318,000000,4.40651,4.40651,4.40651,4.40651,52.334545722514186,0
VIN,D,20100319,000000,4.40651,4.40651,4.40651,4.40651,937.2641370304973,0
VIN,D,20100322,000000,4.38566,4.38566,4.38566,4.38566,145.1094222306057,0
VIN,D,20100323,000000,4.37852,4.37852,4.37852,4.37852,135.594050281066,0
VIN,D,20100324,000000,4.3575,4.37852,4.22424,4.37852,607.794383277388,0
VIN,D,20100325,000000,4.42072,4.42072,4.42072,4.42072,3.568264481080533,0
VIN,D,20100326,000000,4.38566,4.38566,4.35052,4.38566,2334.8343921202986,0
VIN,D,20100329,000000,4.25223,4.5471,4.25223,4.53296,2766.594394331165,0
VIN,D,20100330,000000,4.49084,4.51893,4.30143,4.30857,12729.188825507897,0
VIN,D,20100331,000000,4.30857,4.30857,4.26627,4.26627,1470.1249662052217,0
VIN,D,20100401,000000,4.42072,4.42072,4.2102,4.33649,1165.6330638196525,0
VIN,D,20100406,000000,4.2102,4.25223,4.16808,4.25223,3920.3332432137468,0
VIN,D,20100407,000000,4.16101,4.21725,4.09796,4.21725,3680.070101487765,0
VIN,D,20100408,000000,4.23819,4.23819,4.13991,4.13991,365.1523985639071,0
VIN,D,20100409,000000,4.1822,4.1822,4.13991,4.13991,243.8314062071667,0
VIN,D,20100412,000000,4.24526,4.24526,4.24526,4.24526,1.1894214936934753,0
VIN,D,20100413,000000,4.23819,4.23819,4.05584,4.23819,3682.448944475094,0
VIN,D,20100414,000000,4.03473,4.23129,4.03473,4.20322,10130.302861787688,0
VIN,D,20100415,000000,4.10494,4.20322,4.10494,4.20322,2281.3104249041185,0
VIN,D,20100416,000000,4.19617,4.19617,4.19617,4.19617,3.568264481080533,0
VIN,D,20100419,000000,4.20322,4.20322,3.9435,4.11192,2457.3448059708317,0
VIN,D,20100420,000000,4.12603,4.13991,4.12603,4.12603,809.9960372052852,0
VIN,D,20100421,000000,4.12603,4.12603,4.12603,4.12603,2.3788429873870576,0
VIN,D,20100422,000000,4.16101,4.16101,4.16101,4.16101,2.3788429873870576,0
VIN,D,20100423,000000,4.06987,4.10494,4.06987,4.10494,432.94942370444545,0
VIN,D,20100426,000000,3.95755,3.99959,3.95755,3.97151,940.832401511576,0
VIN,D,20100427,000000,3.87331,3.96469,3.87331,3.96469,478.1474404647937,0
VIN,D,20100428,000000,4.03473,4.03473,3.85937,4.02776,1515.322982965538,0
VIN,D,20100429,000000,4.03473,4.0418,4.03473,4.0418,617.3097552269385,0
VIN,D,20100430,000000,4.09796,4.09796,3.97151,3.97151,802.8595082431278,0
VIN,D,20100504,000000,4.06987,4.06987,3.92947,4.06987,693.43273082332,0
VIN,D,20100505,000000,4.06987,4.11889,3.97151,3.98563,2567.9610048842933,0
VIN,D,20100506,000000,4.0418,4.0418,3.95057,3.95057,2033.9107542159365,0
VIN,D,20100507,000000,4.1331,4.1331,3.85937,3.85937,2307.477697765483,0
VIN,D,20100510,000000,4.1822,4.1822,3.71894,3.96469,7127.013590211535,0
VIN,D,20100511,000000,4.16808,4.16808,3.85937,3.96469,11106.817908110317,0
VIN,D,20100512,000000,4.06987,4.12603,3.85937,3.96469,2849.853898889597,0
VIN,D,20100513,000000,3.85937,3.85937,3.85937,3.85937,1140.6552124521656,0
VIN,D,20100514,000000,3.86642,3.86642,3.85937,3.85937,179.60264554772843,0
VIN,D,20100517,000000,4.1331,4.1331,3.85937,3.85937,95122.7945366468,0
VIN,D,20100518,000000,3.78209,3.92947,3.78209,3.92947,1998.2281094050425,0
VIN,D,20100519,000000,3.96469,3.96469,3.69087,3.92947,2556.0667899473283,0
VIN,D,20100520,000000,3.92947,4.1331,3.86642,3.86642,3041.3507593743757,0
VIN,D,20100521,000000,3.88744,3.88744,3.88744,3.88744,128.4575213188979,0
VIN,D,20100524,000000,3.92947,3.92947,3.92947,3.92947,2.3788429873870576,0
VIN,D,20100525,000000,3.83825,3.85937,3.75417,3.85937,2137.390424167198,0
VIN,D,20100526,000000,3.85221,3.85221,3.76107,3.76107,141.54115774952697,0
VIN,D,20100527,000000,3.85937,3.85937,3.78916,3.85937,1426.116370938463,0
VIN,D,20100528,000000,3.85937,3.85937,3.85937,3.85937,289.0294229675256,0
VIN,D,20100531,000000,3.83825,4.13991,3.82413,3.9927,3311.3494384427154,0
VIN,D,20100601,000000,3.85937,4.04877,3.85937,3.91553,2579.855219821258,0
VIN,D,20100602,000000,4.01363,4.01363,3.83128,3.83128,2101.707779356411,0
VIN,D,20100604,000000,3.9927,3.9927,3.58562,3.78916,3940.5534086065754,0
VIN,D,20100607,000000,3.77511,3.98563,3.77511,3.98563,492.42049838911925,0
VIN,D,20100608,000000,3.8944,4.02078,3.80319,3.80319,2316.9930697149052,0
VIN,D,20100609,000000,3.81732,3.81732,3.81732,3.81732,375.85719200715397,0
VIN,D,20100610,000000,3.92947,3.92947,3.47345,3.64891,6264.68300728368,0
VIN,D,20100611,000000,3.98563,3.98563,3.66286,3.85937,2463.2919134392605,0
VIN,D,20100614,000000,3.99959,3.99959,3.85937,3.85937,2346.7286070573696,0
VIN,D,20100615,000000,3.90148,3.90148,3.64891,3.6769,606.6049617836917,0
VIN,D,20100616,000000,3.705,3.99959,3.63471,3.8944,9420.218230052616,0
VIN,D,20100617,000000,3.8944,3.8944,3.76107,3.88744,888.4978557890491,0
VIN,D,20100618,000000,3.8944,3.8944,3.80319,3.80319,233.12661276393052,0
VIN,D,20100621,000000,3.85937,3.85937,3.85937,3.85937,2.3788429873870576,0
VIN,D,20100622,000000,3.85937,3.85937,3.85937,3.85937,225.99008380176244,0
VIN,D,20100623,000000,3.85937,3.85937,3.49447,3.66985,3433.859852293141,0
VIN,D,20100624,000000,3.85937,3.85937,3.60663,3.71894,2381.2218303743857,0
VIN,D,20100625,000000,3.78916,3.85937,3.78916,3.85937,469.8214900089398,0
VIN,D,20100628,000000,3.85937,3.85937,3.85937,3.85937,148.6776867116844,0
VIN,D,20100629,000000,3.76805,3.85937,3.64168,3.85937,2444.2611695402024,0
